Actual Rank,Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
1,20,/u/Hotwired38,81,18,51,20,66,26,2,186,332,105,63,7,5,1.86,217,0.94,1
2,19,/u/BuffaloSobbers1,97,24,28,-4,49,22,2,236,337,123,82,13,9,3.17,427,.904*,1
3,18,/u/xskilledsnipax,106,27,44,5,54,20,3,257,35,109,91,10,4,2.87,303,0.911,0
4,17,/u/Dangled0re,100,24,31,-5,72,19,1,211,245,112,79,10,8,2.78,299,.913*,1
5,16,/u/canadaq,97,26,35,9,67,19,4,236,176,136,65,10,2,2.99,270,.904*,1
6,15,/u/joey3140,100,23,51,9,43,25,2,215,136,83,69,9,5,2.7,274,0.916,1
7,14,/u/crayfishparty2,101,16,43,-19,32,22,1,245,200,117,57,9,8,1.43,300,0.957,1
8,13,/u/TheManagement,96,24,28,-1,49,12,0,213,198,134,90,11,5,2.28,315,0.924,1
9,12,/u/scomar201,98,21,37,12,49,21,1,181,259,74,82,9,4,1.67,213,0.944,1
10,11,/u/xprmnts,98,20,41,22,55,8,2,232,192,122,72,7,6,2.72,216,0.912,0
11,10,/u/acegfx,93,31,29,16,24,11,3,182,293,58,62,9,6,2.44,282,0.922,0
12,9,/u/rjupp24,101,13,45,-21,64,21,0,238,174,106,85,7,4,2.58*,208,.913*,0
13,8,/u/flykessel,89,20,33,-13,40,19,2,147,345,101,58,8,4,3,243,0.914,1
14,7,Huge's Real Gud Pros,90,19,25,-14,91,10,1,202,204,151,71,6,3,2.58*,162,0.914,0
15,6,/u/mcgrevin,96,23,37,-14,81,19,1,203,174,131,50,9,1,3.22,222,0.892,0
16,5,/u/phoninghome,87,19,42,-18,54,17,0,181,223,75,100,6,2,2.8,177,0.91,0
17,4,/u/Truxa,97,16,32,-6,60,18,0,224,144,96,66,7,3,3.87,227,0.894,0
18,3,/u/idrisk2000,92,24,36,3,30,23,2,201,181,61,44,3,0,3.27,88,0.886,0
19,2,u/ctrl_alt_karma,77,26,25,10,59,16,0,180,102,91,58,7,2,3.51,181,0.884,1
20,1,/u/ninjaemperor,86,19,30,3,56,14,2,183,240,68,50,6,1,4.78,208,0.87,0
