Rank,Actual Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
20,1,/u/Hotwired38,112,25,69,18,86,33,2,264,450,151,86,12,7,2.17,388,0.933,1
19,2,/u/BuffaloSobbers1,134,36,35,-9,65,25,2,317,466,166,110,17,12,2.84,552,0.913,2
18,3,/u/xprmnts,145,33,49,20,73,12,4,341,317,169,97,14,10,2.85,424,0.91,0
17,3,/u/crayfishparty2,136,24,59,-11,42,30,1,332,305,151,91,14,10,2.07,454,0.936,1
16,5,/u/joey3140,140,30,62,5,61,28,2,295,176,132,104,11,7,2.28,336,0.929,2
15,6,/u/canadaq,135,34,51,2,101,29,4,310,244,184,82,14,4,2.95,398,0.905,1
14,7,/u/acegfx,135,39,46,29,34,12,4,267,436,81,104,12,8,2.49,381,0.921,1
13,8,/u/TheManagement,134,34,34,-8,61,17,0,282,265,189,134,15,7,2.51,444,0.923,1
12,9,/u/Dangled0re,137,29,43,-18,94,24,1,282,339,172,107,13,10,2.92,398,0.91,1
11,10,/u/scomar201,139,28,51,9,55,26,1,266,345,104,114,12,6,2.45,300,0.923,1
10,11,/u/xskilledsnipax,144,34,52,-4,70,25,3,335,67,141,122,13,4,3.43,389,0.897,0
9,12,/u/rjupp24,138,17,60,-41,86,29,0,321,212,134,113,10,6,2.5,299,0.923,0
8,13,/u/flykessel,121,25,42,-17,58,25,3,206,450,137,87,9,4,3.01,274,0.912,1
7,14,/u/mcgrevin,136,33,50,-25,106,25,1,287,241,184,71,10,2,3.29,253,0.889,0
6,15,/u/phoninghome,114,24,52,-25,74,23,0,247,286,101,126,9,4,2.77,260,0.908,0
6,16,/u/idrisk2000,129,32,58,-6,36,30,2,278,241,89,66,6,2,2.56,149,0.899,0
4,16,u/ctrl_alt_karma,114,36,41,12,69,24,0,251,144,124,89,10,3,3.07,272,0.901,1
3,18,/u/Truxa,137,21,46,2,72,21,0,332,175,133,96,10,4,3.88,305,0.882,0
2,19,Huge's Real Gud Pros,117,25,32,-10,113,12,1,253,244,188,93,8,3,3.11,208,0.894,0
1,20,/u/ninjaemperor,111,30,42,9,68,22,2,235,317,91,74,7,1,4.68,238,0.87,0
