Actual Rank,Rank,Team Name,GP*,G,A,+/-,PIM,PPP,SHP,SOG,FW,HIT,BLK,GP*,W,GAA,SA,SV%,SHO
1,20,/u/BuffaloSobbers1,85,23,21,2,45,18,2,210,282,111,76,12,8,3.09,395,0.906,1
2,19,/u/xskilledsnipax,95,24,40,8,46,15,3,236,29,102,81,9,4,2.73,269,0.914,0
3,18,/u/Hotwired38,71,12,42,11,62,20,1,159,303,95,54,6,4,2,176,0.932,1
4,17,/u/canadaq,84,23,30,6,59,17,3,204,152,115,58,9,2,2.73,237,0.911,1
5,16,/u/crayfishparty2,87,14,39,-12,24,18,1,212,162,104,48,9,8,1.43,300,0.957,1
6,15,/u/joey3140,89,20,47,5,39,22,2,194,123,77,61,7,4,2.6,210,0.919,1
7,14,/u/TheManagement,83,19,25,-1,47,11,0,179,159,114,75,10,5,2.2,291,0.928,1
8,13,/u/Dangled0re,87,21,27,-7,61,17,1,189,236,96,68,9,7,3.11,269,0.903,0
9,12,/u/xprmnts,88,19,40,20,49,8,2,206,173,109,60,6,5,2.67,165,0.903,0
10,11,/u/acegfx,84,30,28,19,20,11,3,168,262,53,51,8,5,2.62,261,0.92,0
11,10,/u/scomar201,83,19,31,5,45,19,1,157,223,63,65,7,2,2.12,153,0.928,0
12,9,/u/rjupp24,89,11,42,-19,56,19,0,216,155,95,76,6,4,2.83,179,0.905,0
13,8,/u/flykessel,76,18,29,-8,36,17,2,126,299,89,47,8,4,3,243,0.914,1
14,7,Huge's Real Gud Pros,78,18,22,-14,78,9,1,184,195,132,58,5,2,2.3,125,0.92,0
15,6,/u/mcgrevin,85,20,30,-14,68,16,1,174,149,119,43,9,1,3.22,222,0.892,0
16,5,/u/phoninghome,77,16,37,-14,44,15,0,155,202,67,90,6,2,2.8,177,0.91,0
17,4,/u/Truxa,85,15,27,-3,52,14,0,204,138,87,59,7,3,3.87,227,0.894,0
18,3,/u/idrisk2000,78,24,29,2,28,20,2,173,166,52,37,3,0,3.27,88,0.886,0
19,2,u/ctrl_alt_karma,69,20,20,4,55,12,0,159,96,83,50,7,2,3.51,181,0.884,1
20,1,/u/ninjaemperor,76,15,25,7,50,8,2,158,206,59,43,5,1,4.73,169,0.87,0
